City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,tinogasta,-28.0632,-67.5649,27.25,29,23,6.47,AR,1698778671
279,sinop,41.7711,34.8709,18.69,52,100,3.36,TR,1698778673
280,vrsac,45.1167,21.3036,15.51,100,100,3.09,RS,1698778675
281,tolanaro,-25.0319,46.9987,21.04,88,75,4.12,MG,1698778678
282,wailua homesteads,22.0669,-159.378,26.24,78,0,0.97,US,1698778680
283,fort drum,44.0584,-75.7619,4.92,58,57,2.04,US,1698778683
284,tevriz,57.509,72.4042,-10.85,97,100,1.46,RU,1698778685
285,tharad,24.3961,71.6267,26.73,37,2,0.93,IN,1698778688
286,makamba,-4.1348,29.804,18.85,80,14,1.82,BI,1698778690
287,ad dilam,23.9915,47.1627,29.23,38,68,3.61,SA,1698778692
288,alofi,-19.0595,-169.9187,23.94,88,75,6.69,NU,1698778695
289,medeiros neto,-17.3739,-40.2206,29.4,44,100,2.75,BR,1698778697
290,gamay,12.3854,125.2979,25.37,92,100,3.37,PH,1698778699
291,darnah,32.767,22.6367,21.12,76,0,1.2,LY,1698778702
292,el alto,-4.2714,-81.2147,25.81,71,52,7.17,PE,1698778704
293,menaka,15.9182,2.4022,32.75,8,100,3.73,ML,1698778707
294,shinyanga,-3.6667,33.4333,26.07,48,18,5.76,TZ,1698778709
295,shaowu,27.3409,117.4831,15.87,82,49,0.86,CN,1698778712
296,ad dawadimi,24.5077,44.3924,25.64,33,100,5.88,SA,1698778714
297,luanda,-8.8368,13.2343,26.0,78,0,5.66,AO,1698778697
298,la cruz,23.9167,-106.9,29.08,64,0,2.5,MX,1698778718
299,severnoye,56.3491,78.3619,-10.01,90,31,1.79,RU,1698778721
300,pindushi,62.9152,34.58,-4.33,92,100,1.92,RU,1698778725
301,luderitz,-26.6481,15.1594,16.19,70,4,2.01,NA,1698778727
302,saint-philippe,-21.3585,55.7679,23.77,84,37,3.27,RE,1698778732
303,freeport,40.6576,-73.5832,11.99,51,60,1.34,US,1698778654
304,minas de marcona,-15.2119,-75.1103,20.31,57,77,8.11,PE,1698778737
305,punta cardon,11.6581,-70.215,28.65,72,100,1.06,VE,1698778739
306,nueva palestina,15.8,-92.75,26.21,62,95,2.9,MX,1698778741
307,sidareja,-7.4846,108.7923,24.13,94,100,0.72,ID,1698778744
308,santa vitoria do palmar,-33.5189,-53.3681,13.37,73,100,8.32,BR,1698778746
309,bandundu,-3.3167,17.3667,21.19,98,100,0.63,CD,1698778749
310,la libertad,-2.2333,-80.9,25.81,78,75,5.66,EC,1698778751
311,xinmin,41.9908,122.8253,7.72,43,100,2.79,CN,1698778754
312,dhidhdhoo,6.8833,73.1,26.8,77,100,1.47,MV,1698778756
313,nantucket,41.2835,-70.0995,8.94,65,76,5.13,US,1698778759
314,mata-utu,-13.2816,-176.1745,28.03,78,45,9.77,WF,1698778762
315,howrah,22.5892,88.3103,26.0,78,20,0.0,IN,1698778764
316,mezhdurechenskiy,59.6,65.9333,-5.83,94,100,2.09,RU,1698778767
317,fonte boa,-2.4959,-66.2662,35.18,42,100,0.58,BR,1698778769
318,guerrero negro,27.9769,-114.0611,26.75,23,0,1.47,MX,1698778772
319,wewak,-3.5534,143.6268,25.6,86,90,1.08,PG,1698778774
320,lagoa da prata,-20.0225,-45.5436,22.69,75,100,6.72,BR,1698778776
321,beinamar,8.6698,15.3813,28.29,45,100,1.19,TD,1698778779
322,nova vicosa,-17.8919,-39.3719,26.23,69,97,5.47,BR,1698778781
323,mejit,10.2753,170.8646,27.89,80,100,8.0,MH,1698778734
324,sanctuary point,-35.1114,150.629,15.42,74,89,1.71,AU,1698778786
325,las palmas,28.4204,-14.0131,24.44,69,20,2.57,ES,1698778788
326,canby,45.2629,-122.6926,14.23,53,13,1.17,US,1698778791
327,shatki,55.1887,44.1249,2.92,97,100,2.24,RU,1698778793
328,kailua-kona,19.6406,-155.9956,28.61,73,15,0.89,US,1698778796
329,likiep,9.8251,169.3107,27.59,81,100,7.53,MH,1698778798
330,canico,32.6333,-16.85,22.62,81,20,3.09,PT,1698778801
331,bondo,3.8146,23.6866,23.54,86,100,1.0,CD,1698778817
332,alice springs,-23.7,133.8833,16.75,36,73,2.06,AU,1698778828
333,berdigestyakh,62.0989,126.6992,-18.27,99,100,1.06,RU,1698778834
334,mareeba,-17.0,145.4333,15.4,78,93,0.97,AU,1698778839
335,queenstown,-31.8976,26.8753,10.3,80,36,2.09,ZA,1698778751
336,banda aceh,5.5577,95.3222,27.29,80,100,6.06,ID,1698778844
337,nikolayevsk-on-amure,53.1406,140.73,-2.02,65,100,1.05,RU,1698778847
338,jinchang,38.4953,102.1739,11.39,30,0,1.81,CN,1698778849
339,argo,37.6333,22.7333,19.88,46,100,3.13,GR,1698778852
340,cockburn town,21.4612,-71.1419,28.76,78,100,5.41,TC,1698778771
341,yelizovo,53.1873,158.3805,1.56,80,0,4.0,RU,1698778856
342,i-n-salah,27.1935,2.4607,30.51,12,0,1.64,DZ,1698778859
343,kashmar,35.2383,58.4656,14.45,46,61,4.51,IR,1698778861
344,hasaki,35.7333,140.8333,12.94,71,0,1.77,JP,1698778864
345,palikir - national government center,6.9248,158.1611,28.01,73,100,4.1,FM,1698778868
346,lerwick,60.1545,-1.1494,6.0,62,8,5.18,GB,1698778871
347,naze,28.3667,129.4833,21.1,68,30,3.86,JP,1698778873
348,vokhtoga,58.8147,41.0461,-2.36,96,100,2.6,RU,1698778875
349,mossel bay,-34.1831,22.146,15.25,96,97,2.42,ZA,1698778879
350,kapuskasing,49.4169,-82.4331,-1.95,64,20,4.63,CA,1698778656
351,hammerfest,70.6634,23.6821,2.25,80,75,3.09,NO,1698778884
352,mumbwa,-14.9783,27.0619,21.75,68,100,2.82,ZM,1698778886
353,hami,42.8,93.45,13.2,41,100,2.96,CN,1698778889
354,portland,45.5234,-122.6762,13.65,51,41,5.81,US,1698778424
355,daru,-9.0763,143.2092,24.4,84,100,2.55,PG,1698778893
356,flin flon,54.7682,-101.865,-4.09,63,75,5.14,CA,1698778701
357,neiafu,-18.65,-173.9833,24.81,83,6,9.01,TO,1698778898
358,meknes,33.9776,-5.525,20.53,72,100,2.37,MA,1698778901
359,undurkhaan,47.3194,110.6556,-2.18,85,55,0.63,MN,1698778903
360,necochea,-38.5473,-58.7368,11.73,52,100,6.05,AR,1698778906
